Tweet_count,Username,Text,Created At,Retweets,Likes
1,Elon Musk,@Johnmc42069 @WallStreetSilv True,Sun Dec 31 08:32:01 +0000 2023,166,1880
2,Elon Musk,@WallStreetSilv Exactly!,Sun Dec 31 12:43:09 +0000 2023,193,2492
3,Elon Musk,@eyeslasho Hitchens was amazing,Sun Dec 31 15:54:53 +0000 2023,78,1546
4,Elon Musk,@BillyM2k Exactly,Sun Dec 31 00:09:54 +0000 2023,110,1905
5,Elon Musk,@dogeofficialceo Accurate,Sat Dec 30 20:06:58 +0000 2023,129,1491
6,Elon Musk,@WholeMarsBlog 😂 seriously,Sun Dec 31 00:02:08 +0000 2023,115,2111
7,Elon Musk,@farzyness A miscarriage of justice,Sat Dec 30 20:06:37 +0000 2023,198,2133
8,Elon Musk,@chamath Wow yeah,Sun Dec 31 16:15:06 +0000 2023,110,1624
9,Elon Musk,@davewolfusa @Tesla @SpaceX Exactly,Sun Dec 31 12:09:33 +0000 2023,55,1256
10,Elon Musk,@mysteriouskat I agree,Sun Dec 31 12:23:05 +0000 2023,52,994
11,Elon Musk,@mysteriouskat Good point,Sun Dec 31 08:40:53 +0000 2023,53,884
12,Elon Musk,@JonErlichman Time is the true currency,Sun Dec 31 00:57:42 +0000 2023,330,2906
13,Elon Musk,@WallStreetSilv That is the cycle,Sun Dec 31 12:40:03 +0000 2023,200,2747
14,Elon Musk,@WalterIsaacson I think you’re right,Sun Dec 31 00:58:07 +0000 2023,82,1674
15,Elon Musk,@mysteriouskat Even better point,Sun Dec 31 08:41:11 +0000 2023,43,818
16,Elon Musk,@MuskUniversity Can someone please make this parody? It would be so good 🤣,Sun Dec 31 16:16:03 +0000 2023,120,2054
17,Elon Musk,"@Teslaconomics We like to put little fun Easter eggs our cars. Small, unexpected delights are part of what makes life worth living.",Sun Dec 31 16:17:57 +0000 2023,394,5709
18,Elon Musk,"@MuskUniversity Disney’s entire market cap right is just the parks. Investors are valuing everything else as neutral to negative, for good reason. 
https://t.co/vYeCPNqxCF",Sun Dec 31 00:49:31 +0000 2023,165,1715
19,Elon Musk,"@WallStreetSilv People often incorrectly think health care is a matter of money, but it is actually a matter of doctors per capita. 

Unless there is a magic doctor factory somewhere, it takes ~30 years from birth to educate a doctor. 

So what will actually happen is a rapid decline in",Sun Dec 31 08:22:30 +0000 2023,707,4227
20,Elon Musk,@pmarca Never trust a cynic – they excuse their bad behavior with the rationale that “everyone does it”,Sun Dec 31 05:54:38 +0000 2023,290,2766
21,Elon Musk,Night and day difference https://t.co/7WUaRHeNqt,Sat Dec 30 16:25:16 +0000 2023,64073,505308
22,Elon Musk,"We should be ending racism in America, not substituting one form for another!",Sat Dec 30 03:35:57 +0000 2023,29521,164343
23,Elon Musk,"Almost no one seems to be aware of the immense size and lightning growth of this issue. 

According to the mayors, it is already overwhelming essential services in New York, Chicago and other cities.",Sat Dec 30 13:25:01 +0000 2023,43984,171240
24,Elon Musk,@EndWokeness Good!,Sat Dec 30 17:03:07 +0000 2023,527,10920
25,Elon Musk,@realchrisrufo Exactly,Sat Dec 30 05:23:43 +0000 2023,123,2023
26,Elon Musk,@cb_doge @MrBeast Yeah,Sat Dec 30 17:29:43 +0000 2023,176,10157
27,Elon Musk,@ICannot_Enough Agreed,Sat Dec 30 04:48:28 +0000 2023,52,1133
28,Elon Musk,@ZubyMusic I think you’re probably right,Sat Dec 30 05:09:48 +0000 2023,760,10584
29,Elon Musk,@NAGUAR2010 True,Sat Dec 30 16:23:40 +0000 2023,24,549
30,Elon Musk,@austinbarnard45 You’re welcome 😀,Sat Dec 30 17:24:33 +0000 2023,42,1454
31,Elon Musk,@WhatsupFranks Sorry it took so long,Sat Dec 30 02:28:28 +0000 2023,74,1933
32,Elon Musk,"@jeffskoll @SpaceX @Starlink Thanks Jeff, my old friend!",Sat Dec 30 05:39:50 +0000 2023,46,1204
33,Elon Musk,@dinkin_flickaa Big improvements already and more to come!,Sat Dec 30 04:09:25 +0000 2023,44,971
34,Elon Musk,@MarcusHouse The next stage of the Starship program should be called The Two Towers,Sat Dec 30 05:37:10 +0000 2023,271,3644
35,Elon Musk,"@chazman @cybertruck Cybertruck is necessarily lowest priority for FSD, as there only a few hundred Cybertruck in the field compared to ~5 million other Teslas",Sat Dec 30 17:26:16 +0000 2023,136,2129
36,Elon Musk,"@BasedBeffJezos If all goes well, that will be an option",Sat Dec 30 02:45:52 +0000 2023,36,932
37,Elon Musk,"@teslaownersSV As I say though, exceptional execution is needed for this. It will *not* happen “by itself”.",Sat Dec 30 02:47:28 +0000 2023,153,1998
38,Elon Musk,"@ChrisDungeon While certainly not perfect, my batting average for most predictions is quite good. 

My schedule optimism, without which I probably wouldn’t even have tried to do many endeavors, gets the best of me sometimes, but I always deliver in the end.",Sat Dec 30 13:12:12 +0000 2023,457,4662
39,Elon Musk,"Starship will make life as we know it multiplanetary for the first time in Earth’s ~4.5 billion year existence 
 https://t.co/G7lJo3gckz",Sat Dec 30 01:24:54 +0000 2023,13475,101377
40,Elon Musk,Just completed static fire test of Flight 3 Super Heavy Booster https://t.co/m0n8RooOlA,Fri Dec 29 17:52:05 +0000 2023,6614,69232
41,Elon Musk,To give you a sense of the immense and growing size of illegal immigration!,Fri Dec 29 17:00:43 +0000 2023,52441,179239
42,Elon Musk,"Next week, I will do a company talk for SpaceX, followed later by a company talk for Tesla after the 10K. 

I will recap the talented team’s amazing accomplishments of 2023 and describe exciting plans for 2024 and beyond!

These will be posted publicly to @SpaceX and @Tesla.",Fri Dec 29 16:42:50 +0000 2023,5617,57380
43,Elon Musk,6 times as many links as humans!,Fri Dec 29 21:28:25 +0000 2023,3150,26930
44,Elon Musk,"@WholeMarsBlog I stand by my prediction that, if Tesla executes extremely well over the next 5 years, that the long term value could exceed Apple and Aramco combined",Sat Dec 30 01:53:30 +0000 2023,2019,17100
45,Elon Musk,"Just a reminder to organizations and individuals to add your best content to the Highlights section of your profile.

This is especially helpful for highlighting your important replies, which are hard to find in the current system.",Fri Dec 29 16:44:53 +0000 2023,2579,22841
46,Elon Musk,@stclairashley True,Fri Dec 29 17:19:34 +0000 2023,85,1587
47,Elon Musk,@stillgray Definitely,Fri Dec 29 17:18:54 +0000 2023,240,2537
48,Elon Musk,@fentasyl Exactly,Sat Dec 30 17:27:27 +0000 2023,36,722
49,Elon Musk,@cb_doge Thanks 🤣🤣,Fri Dec 29 16:47:52 +0000 2023,59,1412
50,Elon Musk,@johnkrausphotos Great year,Fri Dec 29 16:35:54 +0000 2023,55,1293
51,Elon Musk,@WholeMarsBlog Coming soon,Fri Dec 29 17:48:35 +0000 2023,81,1518
52,Elon Musk,@bevedoni He is utterly wrong,Fri Dec 29 16:57:02 +0000 2023,80,1363
53,Elon Musk,@tunguz Can’t spelling economics without “con”,Fri Dec 29 16:32:08 +0000 2023,54,778
54,Elon Musk,"@dogeofficialceo Good to hear. 

More improvements coming!",Fri Dec 29 16:35:31 +0000 2023,51,837
55,Elon Musk,@shaunmmaguire It just in order to build a self-sustaining city on Mars,Fri Dec 29 16:59:20 +0000 2023,73,999
56,Elon Musk,"@NicklasNilsso14 Yay🇸🇪 Sweden 🇸🇪 !!

Thanks to the excellent Tesla team in Sweden!",Fri Dec 29 16:34:28 +0000 2023,165,2515
57,Elon Musk,Falcon Heavy ascent &amp; boosters landing https://t.co/R5X6qYAnYN,Fri Dec 29 15:58:26 +0000 2023,3886,41914
58,Elon Musk,Amazing,Fri Dec 29 16:08:59 +0000 2023,33565,192267
59,Elon Musk,@WholeMarsBlog Yahoo news is unreadable 💩,Fri Dec 29 14:04:01 +0000 2023,131,1951
60,Elon Musk,@BillMelugin_ This is insane,Fri Dec 29 15:50:20 +0000 2023,1557,14389
61,Elon Musk,@RepThomasMassie Interesting,Fri Dec 29 16:14:18 +0000 2023,287,4985
62,Elon Musk,@chamath True,Fri Dec 29 08:07:07 +0000 2023,35,799
63,Elon Musk,@WholeMarsBlog It is increasingly clear that all roads lead to AGI. Tesla is building an extremely compute-efficient mini AGI for FSD.,Fri Dec 29 07:50:41 +0000 2023,406,3850
64,Elon Musk,@Culture_Crit Seriously,Fri Dec 29 16:25:25 +0000 2023,52,1479
65,Elon Musk,@growing_daniel Been there,Fri Dec 29 08:20:38 +0000 2023,43,1120
66,Elon Musk,@TMZLive @jkundert TMZ is underrated,Fri Dec 29 14:47:41 +0000 2023,53,857
67,Elon Musk,@JonErlichman Asimov was amazing. His Foundation books were an inspiration for the need to make life multiplanetary while civilization is still strong.,Fri Dec 29 16:24:16 +0000 2023,93,1166
68,Elon Musk,@NovareProject Starship is a whole new level,Fri Dec 29 16:01:23 +0000 2023,97,1704
69,Elon Musk,@johnpisaniphoto @considercosmos We will return to the moon soon,Fri Dec 29 08:06:01 +0000 2023,323,3166
70,Elon Musk,"@Not_the_Bee The mayor of New York, who is a Democrat, is saying in the strongest possible terms that his city’s services are collapsing under the strain of so many illegal immigrants! 

They have run out of hotel rooms. Where are they meant to live?",Fri Dec 29 16:28:00 +0000 2023,306,2119
71,Elon Musk,@gigafactories Congrats on a great year by all Tesla factories!,Fri Dec 29 08:04:51 +0000 2023,283,4228
72,Elon Musk,"@FutureJurvetson @SpaceX And, if all goes well, SpaceX’s total launch mass to orbit will increase ~50% next year, not including Starship",Fri Dec 29 15:49:19 +0000 2023,184,2565
73,Elon Musk,"@DanaEn803 @arstechnica @SciGuySpace The super heavy booster can be used more frequently than the ship, as it returns in about ~6 minutes and can theoretically be ready for reflght in an hour. 

The ship needs to complete at least one orbit, but often several to have the ground track line back up with the launch",Fri Dec 29 14:14:11 +0000 2023,1078,7996
74,Elon Musk,Completed Tier 25 AoZ with a lot of help :) https://t.co/8r3RhNEZqx,Thu Dec 28 01:44:09 +0000 2023,4481,49493
75,Elon Musk,Don’t Look Up https://t.co/jC7gdjtcAe,Thu Dec 28 05:36:18 +0000 2023,2669,18923
76,Elon Musk,@cb_doge Finally https://t.co/jWpLYy8mz1,Fri Dec 29 05:29:12 +0000 2023,145,1562
77,Elon Musk,Congrats to the SpaceX team on achieving 96 launches in 2023!,Fri Dec 29 07:00:26 +0000 2023,7281,66339
78,Elon Musk,@DrKnowItAll16 Absolutely,Thu Dec 28 05:45:57 +0000 2023,59,1248
79,Elon Musk,@shaunmmaguire True,Fri Dec 29 16:58:59 +0000 2023,26,541
80,Elon Musk,@JonErlichman Interesting,Fri Dec 29 07:34:11 +0000 2023,51,935
81,Elon Musk,@BillyM2k 😂 so may times,Thu Dec 28 05:06:50 +0000 2023,85,1583
82,Elon Musk,@DavidSacks Many deaths could have been avoided,Thu Dec 28 01:52:32 +0000 2023,315,3610
83,Elon Musk,@SawyerMerritt He has the wrong frame of reference. Tesla is an AI/robotics company.,Thu Dec 28 02:41:35 +0000 2023,684,6652
84,Elon Musk,"@AlexJonesMW3 @X Yup, we’re working on it",Thu Dec 28 01:57:04 +0000 2023,160,3323
85,Elon Musk,@all_in_tok @BrendanCarrFCC “Just a coincidence”,Fri Dec 29 07:03:19 +0000 2023,90,1136
86,Elon Musk,@MikeBenzCyber @DavidSacks Bombastic bonehead in extremis,Fri Dec 29 07:02:53 +0000 2023,61,816
87,Elon Musk,@SawyerMerritt This false story was parroted by hundreds of publications worldwide,Fri Dec 29 07:19:05 +0000 2023,376,4043
88,Elon Musk,"@Albz321 Yes, we are adding the ability to attach rich text docs",Thu Dec 28 04:32:54 +0000 2023,66,1331
89,Elon Musk,"@TeslaSynopsis It is already on a lot of cars, but, given that is a completely new architecture, we are doing extra testing.

It works very well in California, but needs more training for heavy precipitation areas.",Thu Dec 28 01:56:27 +0000 2023,309,3797
90,Elon Musk,@DrKnowItAll16 @TMZ @HarveyLevinTMZ TMZ has higher journalistic standards than most “mainstream” publications,Fri Dec 29 03:55:35 +0000 2023,79,1354
91,Elon Musk,"@MikeBenzCyber You cannot be weak, but I strongly disagree. “An eye for an eye” is foolish and primitive, leading to an endless cycle of retribution.",Fri Dec 29 07:32:09 +0000 2023,130,1522
92,Elon Musk,"@sundeep @pmarca That used to be true, but these days the losers are very much alive and have a lot of time on their hands to edit Wikipedia!",Fri Dec 29 06:57:40 +0000 2023,156,1669
